"id"	"ask"	"answer"	"lable"
"1"	"做局部装修吗？"	"亲咱们家局部只做厨卫翻新和整屋墙面翻新 您这边需要吗？"	"房屋类型"
"2"	"老房装修"	"您的房子面积多大呢？这边帮您规划一下格局和装修风格的哦"	"房屋类型"
"3"	"毛坯，到时候需要再找你们哈"	"亲 这边打算什么时候开始装修呢，是近半年内，一年内，还是两年内呢？"	"房屋类型"
"4"	"我今年可能有两个房子要装修。爸妈那里是老公房"	"好的亲 您方便留个您的联系方式，给您发一下咱们家的活动内容 ，不同风格的实景案例以及装修流程 您也好先看看做个参考哦"	"房屋类型"
"5"	"主要考虑以后精装想改格局"	"那您这边是要整体重装还是要局部改造呢"	"房屋类型"
"6"	"大概106个平方"	"亲 您的房子是毛坯装修还是旧房整套翻新呢？"	"面积"
"7"	"100平米"	"好的亲 您方便留个您的联系方式吗，给您发一下咱们家的活动内容 ，不同风格的实景案例以及装修流程 您也好先看看做个参考哦"	"面积"
"8"	"170，95。房型不知道，现在还早，我只是先关注着，看看而已"	"好的亲 您方便留个您的联系方式吗，给您发一下咱们家的活动内容 ，不同风格的实景案例以及装修流程 您也好先看看做个参考哦"	"面积"
"9"	"我想看一下85平方的装修"	"亲 这边是微信公众号临时对话窗口无法发送价格表和风格案例的哦 您留个联系方式加您发送一下，您参考一下觉得合适在定"	"面积"
"10"	"房子面积80平方"	"可以的 您可以分享公众号给您朋友看下公众号了解下哈"	"面积"
"11"	"过二年吧"	"好的亲 您方便留个您的联系方式吗，给您发一下咱们家的活动内容 ，不同风格的实景案例以及装修流程 您也好先看看做个参考哦"	"预计装修时间"
"12"	"一年内吧"	"您这边对于装修有大概的预算吗，这边针对您的预算给您详细介绍下"	"预计装修时间"
"13"	"估计下半年"	"好的，您房子在上海哪个区呢，面积多少？"	"预计装修时间"
"14"	"还早，要8月份"	"好的 这个没关系的亲，装修都是要提前了解的 您可以先了解起来哦 您可以留个联系方式给我，我把不同风格设计案例，以及装修中要注意的细节流程发您微信上，等你需要的时候可以直接在微信上联系到我哦~"	"预计装修时间"
"15"	"近2个月"	"好的，您房子在上海哪个区呢，面积多少？这边安排对应的顾问给您详细介绍下哈~"	"预计装修时间"
"16"	"做局部装修吗？"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"17"	"做阳台洗衣机柜"	"亲，这个服务我们暂时不能提供喔，抱歉"	"房屋类型"
"18"	"旧房重新装修"	"好的亲，旧房重新装修在我们的服务范围"	"房屋类型"
"19"	"新房精装交房，补充一些家具"	"亲，不同的装修风格配上要搭配不同的家具才好看呢。为了帮您搭配，"	"房屋类型"
"20"	"谢谢，我装修公司找好了，以后有机会再合作"	"好的，亲亲可以先关注咱们公众号，随后有需要的时候可以再来详细咨询哈"	"房屋类型"
"21"	"不是整套，想隔一个房间"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"22"	"随便看看，没装修"	"没关系的亲，把自己的家搭配的漂漂亮亮是意见很幸福，且重要的事情。提前了解装修方案，让自己多一个选择喔~"	"房屋类型"
"23"	"现没房子装修,随便看看,了解一下"	"这个没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的装修需求吧~"	"房屋类型"
"24"	"没有买房，有买房的打算"	"这个没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的装修需求吧~"	"房屋类型"
"25"	"现在不装只是关注一下"	"亲亲可以先关注咱们公众号，公众号上不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"26"	"己经在沪尚签约了。"	"感谢亲的认可，关注咱们的公众号，如有需要随时联系喔~"	"房屋类型"
"27"	"松江已经在装修了"	"好的，咱们公众号上不定期会更新各类最新的装修风格和案例，欢迎关注~"	"房屋类型"
"28"	"我同事拆迁年底或明年前分房，我帮她先看看熟悉一下。"	"亲太有爱了，为了快速的给亲匹配首席设计师，跟我聊聊你朋友的装修需求吧~"	"房屋类型"
"29"	"老房装修"	"好的，我们做过很多翻新的案例，帮您把家设计的美美哒~"	"房屋类型"
"30"	"今年房子打算卖"	"亲，如果卖之前做下全屋翻新，说不定可以卖个好价钱呢~！"	"房屋类型"
"31"	"我还沒拿到房呐"	"好的 这个没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的装修需求吧~"	"房屋类型"
"32"	"旧房翻新"	"亲，我们做过很多翻新的案例，帮您把家设计的美美哒~"	"房屋类型"
"33"	"毛坯，到时候需要再找你们哈"	"亲，把自己的家搭配的漂漂亮亮是一件很重要的事情。
提前了解装修方案，让自己多一个选择喔~"	"房屋类型"
"34"	"买得精装修的"	"亲，那就快快开始自己的全屋软装搭配~我们有首席的空间设计师为您服务"	"房屋类型"
"35"	"软装下子"	"亲，软装有很多风格的，看看您喜欢哪一种"	"房屋类型"
"36"	"二手房"	"好的，我们做过很多翻新的案例，帮您把家设计的美美哒~"	"房屋类型"
"37"	"一楼"	"亲，我们需要了解您具体的装修需求才能更好的服务您~"	"房屋类型"
"38"	"我就想问问 两室两厅的房子 可以改造成三房吗"	"亲，空间都是可以通过设计改造的，具体要跟您确认下房屋情况喔~"	"房屋类型"
"39"	"没卖掉，首付款不足，没法买新的"	"好的，咱们公众号上不定期会更新各类最新的装修风格和案例，欢迎关注公众号~"	"房屋类型"
"40"	"在等卖房子"	"亲，现在房价这么贵，如果卖之前做下全屋翻新，说不定可以卖个好价钱呢~"	"房屋类型"
"41"	"我去年在嘉兴一套房子是你们公司装修的，体验过了不太满意，当时是在松江公司签约的。"	"亲，感谢您的信任，如果对房屋不满意，这里有售后联系方式"	"房屋类型"
"42"	"毛坯"	"亲，我们会安排资深设计师为您服务，聊聊您的具体需求吧"	"房屋类型"
"43"	"旧房翻新"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"44"	"毛坯"	"亲，我们会安排资深设计师为您服务，聊聊您的具体需求吧"	"房屋类型"
"45"	"语音识别结果:应该算重新装修吧。"	"亲，我们会安排资深设计师为您服务，聊聊您的具体需求吧"	"房屋类型"
"46"	"早着呢，房子还没买了"	"亲亲可以先关注咱们公众号，会不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"47"	"前两年装修的"	"亲亲可以先关注咱们公众号，会不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"48"	"我们现在没打算装修 家里还很新的 去年刚买的家具"	"亲亲可以先关注咱们公众号，上不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"49"	"动迁中~还没买"	"亲，把自己的家搭配的漂漂亮亮是一件很重要的事情。
提前了解装修方案，让自己多一个选择喔~"	"房屋类型"
"50"	"我私房不需要装修"	"亲，如果住的舒服就不需要装修的，如果住的不舒服，风水可以调一调，我们也有这样的服务哟~"	"房屋类型"
"51"	"没房子，租房的！"	"亲，那就先从拥有一个自己的房子开始吧，关注咱们公众号，了解下新家的感受"	"房屋类型"
"52"	"还没房，在看"	"亲亲可以先关注咱们公众号，上不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"53"	"房子还没买呢"	"亲亲可以先关注咱们公众号，上不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"54"	"旧房翻新"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"55"	"新房"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"56"	"带装修"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"57"	"我先了解一下，房子还在置换过程中"	"亲，翻新装修也是家中的一件大事，提前规划提前准备喔~"	"房屋类型"
"58"	"就厨房装修吗"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"59"	"就厨房重新装修，你们接单吗"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"60"	"是老人家的厨房要重装，他们意向是等到。5月底6月初开始装修。所以。我现在只是想咨询一下，你们厨房是不是单个的可以装修？"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"61"	"毛柸"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"62"	"房子还没拿到"	"好的 这个没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的装修需求吧~"	"房屋类型"
"63"	"还没买房，有这意向"	"亲亲可以先关注咱们公众号，上不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"64"	"我就定制小房间的家具"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"65"	"房子是装修好的"	"亲，那就快快开始自己的全屋软装搭配~我们有首席的空间设计师为您服务"	"房屋类型"
"66"	"我不是装修，是儿童房的定制"	"亲，我们有局部改造服务的~30平米以上的局部空间可以做的"	"房屋类型"
"67"	"就小房间家具定制"	"亲，我们有局部改造服务的~30平米以上的局部空间可以做的"	"房屋类型"
"68"	"也不算软装"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"69"	"对于家具定制不是很了解"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"70"	"小房间比较小，到买家具达不到储物、写作业的空间，所以想定制"	"亲，我们有局部改造服务的~30平米以上的局部空间可以做的。现在也很流行小空间大利用的设计风格喲~"	"房屋类型"
"71"	"还没拿到房子"	"好的 这个没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的房子情况吧~"	"房屋类型"
"72"	"沪尚茗居整体家装 我房子还没有买呢"	"好的 这个没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的装修需求吧~"	"房屋类型"
"73"	"还没新房"	"亲亲可以先关注咱们公众号，上不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"74"	"就想打点柜子"	"亲，储物是居家的一道难题~我们有首席的空间设计师帮你好好解决下，嘻嘻"	"房屋类型"
"75"	"想把卧室的柜子和阳台弄一下，你们可以弄吗"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"76"	"只打个柜子，你们不单独打柜子吗"	"亲，储物是居家的一道难题~我们有首席的空间设计师帮你好好解决下，嘻嘻"	"房屋类型"
"77"	"我家还在买房子，暂时不装修"	"这个没关系的亲，装修都是要提前了解的，关注公众号，提前了解装修搭配"	"房屋类型"
"78"	"我们现在劲量在找全装修房，如果买到毛坯的话在和你们联系可以么？"	"亲，我们提供多样化的定制装修服务，说说您的装修需求吧"	"房屋类型"
"79"	"翻新"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"80"	"语音识别结果:我的是旧房子翻新价格合适的话，我就把它弄一下。"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"81"	"我只是先看看，了解一下。房子还不知道在哪儿呢！"	"亲，那就先从拥有一个自己的房子开始，关注咱们公众号，了解下未来的家喲~"	"房屋类型"
"82"	"卫生间，13701870692"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"83"	"房子是基本上装修好的，就是不太理想"	"亲，软装有很多风格的，看看您喜欢哪一种"	"房屋类型"
"84"	"我没有房子装修"	"没关系的亲，装修都是要提前了解的，关注公众号，提前了解装修搭配"	"房屋类型"
"85"	"语音识别结果:房子还没有交易好等好了以后我再和你联系。"	"没关系的亲，装修都是要提前了解的，关注公众号，提前了解装修搭配"	"房屋类型"
"86"	"毛坯"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"87"	"我己装修好了，按错了"	"亲亲可以先关注咱们公众号，我们不定期会更新各类最新的装修风格和案例哟~"	"房屋类型"
"88"	"地下室二层毛坯，上面二层精装！"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"89"	"哈哈，我房子还没有拿到，先看看。"	"没关系的亲，装修都是要提前了解的，找找自己想要的风格，提前装修，排排气味，开开心心住进去。"	"房屋类型"
"90"	"有于疫情，还在造"	"没关系的亲，装修都是要提前了解的，找找自己想要的风格，提前装修，排排气味，开开心心住进去"	"房屋类型"
"91"	"翻新和毛坯怎么说，有什么不一样"	"毛坯可以直接装 翻新的话可能要拆掉再装"	"房屋类型"
"92"	"你们装修庭院和地下室吗"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"93"	"对。大平层开发商装修好的"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"94"	"我只装一个小房间，儿童房，做一个1.35的高低床"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"95"	"改装"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"96"	"局部只做墙面？"	"对哒"	"房屋类型"
"97"	"旧房翻新"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"98"	"旧房翻新"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"99"	"老房翻新"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"100"	"毛坯"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"101"	"还没拿到房子，先关注一下"	"没关系的亲，装修都是要提前了解的，找找自己想要的风格，提前装修，排排气味，开开心心住进去。"	"房屋类型"
"102"	"嗯，下次拿到房子后 在和你说，谢谢"	"没关系的亲，装修都是要提前了解的，找找自己想要的风格，提前装修，排排气味，开开心心住进去。"	"房屋类型"
"103"	"我这是老房子客厅墙面涮涂料加贴瓷砖。地板局部换瓷砖，卫生间浴缸改淋浴房。"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"104"	"我现在还没要装修房子，可能要过段时间，儿子刚谈対像，本来对家装比较喜欢，所以想有空看看，所以就点关注公众号了，打扰了，不让看我就退出来。"	"没关系的亲，装修都是要提前了解的，关注公众号，提前了解装修搭配"	"房屋类型"
"105"	"98年"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
